dataset_id,fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit,function_arguments
1003,chief_complaint,T,JSON,yes,no,,,,,chief complaint,1,no unit,
1003,furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg,
1003,suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit,
1003,theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit,
1003,paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg,
1003,organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit,
1003,chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1003,emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1003,esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1003,organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1003,immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1003,heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1003,chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit,
1003,dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min,
1003,abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg,
1003,stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,,
1003,ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,aztreonam_dose,T,JSON,yes,no,,,,,Medication,1,TBD,
1003,norepinephrine_dose,T,JSON,yes,no,,,,,Medication,1,TBD,
1003,amoxicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,ampicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,azithromycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,cefazolin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,cefepime_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,ceftazidime_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,ceftriaxone_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,ciprofloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,clindamycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,cms_antibiotics_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,crystalloid_fluid_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,dextrose_normal_saline_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,dextrose_water_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,dopamine_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,gentamicin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,lactated_ringers_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,levofloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,levophed_infusion_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,meropenem_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,metronidazole_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,moxifloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,neosynephrine_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,penicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,piperacillin_tazobac_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,rifampin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,sodium_bicarbonate_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,sodium_chloride_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,vancomycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,vasopressors_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1003,cefepime_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,levofloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,azithromycin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,dextrose_normal_saline,T,JSON,yes,no,,,,,Medication,1,mg,
1003,dextrose_water,T,JSON,yes,no,,,,,Medication,1,mg,
1003,sodium_chloride,T,JSON,yes,no,,,,,Medication,1,mg,
1003,lactated_ringers,T,JSON,yes,no,,,,,Medication,1,ml,
1003,metronidazole_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,biliary_sepsis,T,String,yes,no,,,,,,,,
1003,sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L,
1003,neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1003,obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit,
1003,metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit,
1003,troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL,
1003,enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,milrinone_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min,
1003,rass,TWF,Real,yes,no,last_value_in_window,5,,,Physiologic,1,no unit,
1003,pneumonia_sepsis_approx,T,String,yes,no,,,,,,,,
1003,acute_kidney_failure,T,Boolean,no,no,,,acute_kidney_failure_update,"acute_kidney_failure_inhosp, creatinine, urine_output_24hr, dialysis",Diagnoses,1,,
1003,organ_dysfunction,TWF,Integer,no,no,,,organ_dysfunction_update, resp_sofa, renal_sofa, hepatic_sofa, hematologic_sofa,
1003,any_antibiotics,T,Boolean,no,no,,,any_antibiotics_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazobac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotic was given to the patient,1,no unit,
1003,sirs_raw,TWF,Boolean,no,no,,,sirs_raw_update,"sirs_temperature_oor, sirs_hr_oor, sirs_resp_oor, sirs_wbc_oor","mix of lab and vital signs, it should not be sparse",1,no unit,
1003,chronic_bronchitis_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1003,pao2_to_fio2,TWF,Real,no,no,,,pao2_to_fio2_update,"pao2, fio2","vital sign based, it should not be sparse",1,mmHg,
1003,propofol_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,vasopressors_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,ciprofloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,amoxicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1003,verapamil_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1003,qsofa,TWF,Integer,no,no,,,qsofa_update,"resp_rate, sbpm, gcs",it should not be sparse,1,no unit,
1003,erythromycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
