dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
1003,threshold_inr,transform,"threshold(0.01, 12)"
1003,hypotension_raw_update,derive,ref Arch folder
1003,minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
1003,threshold_abp_dias,transform,"threshold(8 , 150)"
1003,nbp_mean_update,derive,ref Arch folder
1003,threshold_platelets,transform,"threshold(0.1, 1200)"
1003,severe_sepsis_update,derive,ref Arch folder
1003,septic_shock_iii_update,derive,ref Arch folder
1003,fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
1003,sirs_hr_oor_update,derive,ref Arch folder
1003,convert_penicillin_g_dose,transform,convert to million unit
1003,convert_dose_to_binary,transform,indicate where the medication was taken
1003,convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
1003,lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
1003,qsofa_update,derive,ref Arch folder
1003,transform_potassium,transform,transform potassium to mmol
1003,convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
1003,threshold_nbp_mean,transform,"threshold(20, 250)"
1003,threshold_nbp_dias,transform,"threshold(8 , 150)"
1003,convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
1003,convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
1003,threshold_bilirubin,transform,"threshold(0, 50)"
1003,threshold_sodium,transform,"threshold(115, 160)"
1003,hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
1003,dbpm_update,derive,ref Arch folder
1003,threshold_potassium,transform,"threshold(1, 10)"
1003,hepatic_sofa_update,derive,ref Arch folder
1003,convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
1003,admit_weight_update,derive,generate admit weight
1003,acute_liver_failure_update,derive,ref Arch folder
1003,threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
1003,convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
1003,heart_attack_update,derive,1 at estimated time of heart attack diagnosis
1003,convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
1003,cmi_update,derive,ref Arch folder
1003,hepatic_failure_update,derive,1 at estimated time of hepatic failure diagnosis
1003,fluids_intake_1hr,derive,sum up fluids intake within 1 hour
1003,convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
1003,neurologic_sofa_update,derive,ref Arch folder
1003,convert_to_mcg_min,transform,convert value to mcg/min
1003,fluids_intake_24hr,derive,sum up fluids intake within 24 hours
1003,sirs_raw_update,derive,ref Arch folder
1003,convert_inhosp_to_json,transform,"{""diagname"":string, ""ischronic"":1/0, ""present on admission"":string}"
1003,worst_sofa_update,derive,ref Arch folder
1003,any_organ_failure_update,derive,ref Arch folder
1003,get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
1003,hypotension_intp_update,derive,ref Arch folder
1003,threshold_creatinine,transform,"threshold(0.1, 40)"
1003,threshold_lactate,transform,"threshold(0.2, 40)"
1003,jh_pressor_update,derive,ref Arch folder
1003,beta_blocker_update,derive,"1 if any beta-blocker given at tsp, 0 otherwise. See Arch for specific medications."
1003,glucocorticoid_update,derive,"1 if any glucocorticoid given at tsp, 0 otherwise. See Arch for specific medications."
1003,convert_salmeterol_dose,transform,use default_convert_dose function and convert all does > 4.0 to 4.0
1003,convert_to_mmol,transform,if reference_unit == 'mEq/L' return value
1003,threshold_hemoglobin,transform,"threshold(4 , 20)"
1003,any_antibiotics_order_update,derive,any antibiotics order has been placed
1003,mapm_update,derive,ref Arch folder
1003,threshold_gcs,transform,"threshold(3, 15)"
1003,gi_bleed_update,derive,calculate gi_bleed
1003,convert_lab_value_to_real,transform,convert value to float and transform <float or >float to float
1003,resp_sofa_update,derive,ref Arch folder
1003,threshold_abp_mean,transform,"threshold(20 , 170)"
1003,threshold_fio2,transform,"threshold(20, 100)"
1003,anticoagulant_update,derive,"1 if any anticoagulant given at tsp, 0 otherwise. See Arch for specific medications."
1003,convert_pao2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
1003,convert_vasopressin_to_unit,transform, convert vasopressin in Unit
1003,convert_catheter_to_binary,transform,"1 when catheter present, 0 prior to insertion and after removal"
1003,minutes_since_any_antibiotics_update,derive,ref Arch folder
1003,sufficient_fluid_replacement_update,derive,ref Arch folder
1003,stroke_update,derive,1 at estimated time of stroke diagnosis
1003,transform_sodium,transform,transform sodium to mmol
1003,urine_output_24hr,derive,ref Arch folder
1003,threshold_paco2,transform,"threshold(5, 100)"
1003,fluid_resuscitation_update,derive,ref Arch folder
1003,obstructive_pe_shock_update,derive,ref Arch folder
1003,cast_string_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
1003,pao2_to_fio2_update,derive,PaO2/FiO2
1003,get_systolic,transform,"BP is reported as a string in the form of ""140/70"". GetSystolic returns the value before the ""/"" char"
