dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
1000,threshold_inr,transform,"threshold(0.01, 12)"
1000,hypotension_raw_update,derive,ref Arch folder
1000,minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
1000,threshold_abp_dias,transform,"threshold(8 , 150)"
1000,nbp_mean_update,derive,ref Arch folder
1000,threshold_platelets,transform,"threshold(0.1, 1200)"
1000,severe_sepsis_update,derive,ref Arch folder
1000,septic_shock_iii_update,derive,ref Arch folder
1000,fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
1000,sirs_hr_oor_update,derive,ref Arch folder
1000,convert_penicillin_g_dose,transform,convert to million unit
1000,convert_dose_to_binary,transform,indicate where the medication was taken
1000,convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
1000,lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
1000,qsofa_update,derive,ref Arch folder
1000,transform_potassium,transform,transform potassium to mmol
1000,convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
1000,threshold_nbp_mean,transform,"threshold(20, 250)"
1000,threshold_nbp_dias,transform,"threshold(8 , 150)"
1000,convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
1000,convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
1000,threshold_bilirubin,transform,"threshold(0, 50)"
1000,threshold_sodium,transform,"threshold(115, 160)"
1000,hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
1000,dbpm_update,derive,ref Arch folder
1000,threshold_potassium,transform,"threshold(1, 10)"
1000,hepatic_sofa_update,derive,ref Arch folder
1000,convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
1000,admit_weight_update,derive,generate admit weight
1000,acute_liver_failure_update,derive,ref Arch folder
1000,threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
1000,convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
1000,heart_attack_update,derive,1 at estimated time of heart attack diagnosis
1000,convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
1000,cmi_update,derive,ref Arch folder
1000,hepatic_failure_update,derive,1 at estimated time of hepatic failure diagnosis
1000,fluids_intake_1hr,derive,sum up fluids intake within 1 hour
1000,convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
1000,neurologic_sofa_update,derive,ref Arch folder
1000,convert_to_mcg_min,transform,convert value to mcg/min
1000,fluids_intake_24hr,derive,sum up fluids intake within 24 hours
1000,sirs_raw_update,derive,ref Arch folder
1000,convert_inhosp_to_json,transform,"{""diagname"":string, ""ischronic"":1/0, ""present on admission"":string}"
1000,worst_sofa_update,derive,ref Arch folder
1000,any_organ_failure_update,derive,ref Arch folder
1000,get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
1000,hypotension_intp_update,derive,ref Arch folder
1000,threshold_creatinine,transform,"threshold(0.1, 40)"
1000,threshold_lactate,transform,"threshold(0.2, 40)"
1000,jh_pressor_update,derive,ref Arch folder
1000,beta_blocker_update,derive,"1 if any beta-blocker given at tsp, 0 otherwise. See Arch for specific medications."
1000,glucocorticoid_update,derive,"1 if any glucocorticoid given at tsp, 0 otherwise. See Arch for specific medications."
