dataset_id,fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
6,furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg
6,pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
6,suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit
6,theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg
6,hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit
6,paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
6,organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit
6,chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit
6,emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
6,esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit
6,organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
6,immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
6,heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit
6,chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
6,dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
6,abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg
6,stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,
6,ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg
6,biliary_sepsis,T,String,yes,no,,,,,,,
6,sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
6,neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg
6,obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit
6,metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit
6,troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL
6,enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg
6,milrinone_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
6,rass,TWF,Real,yes,no,last_value_in_window,6,,,Physiologic,1,no unit
6,pneumonia_sepsis_approx,T,String,yes,no,,,,,,,
6,acute_kidney_failure,T,Boolean,no,no,,,acute_kidney_failure_update,"acute_kidney_failure_inhosp, creatinine, urine_output_24hr, dialysis",Diagnoses,1,
6,any_antibiotics,T,Boolean,no,no,,,any_antibiotics_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazbac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotic was given to the patient,1,no unit
