dataset_id,fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
5,furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
5,suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit
5,theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit
5,paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
5,organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit
5,chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
5,abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg
5,stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,
5,ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,biliary_sepsis,T,String,yes,no,,,,,,,
5,sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
5,neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit
5,metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit
5,troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL
5,enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,milrinone_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
5,rass,TWF,Real,yes,no,last_value_in_window,5,,,Physiologic,1,no unit
5,pneumonia_sepsis_approx,T,String,yes,no,,,,,,,
5,acute_kidney_failure,T,Boolean,no,no,,,acute_kidney_failure_update,"acute_kidney_failure_inhosp, creatinine, urine_output_24hr, dialysis",Diagnoses,1,
5,any_antibiotics,T,Boolean,no,no,,,any_antibiotics_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazbac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotic was given to the patient,1,no unit
5,sirs_raw,TWF,Boolean,no,no,,,sirs_raw_update,"sirs_temperature_oor, sirs_hr_oor, sirs_resp_oor, sirs_wbc_oor","mix of lab and vital signs, it should not be sparse",1,no unit
5,chronic_bronchitis_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,pao2_to_fio2,TWF,Real,no,no,,,pao2_to_fio2_update,"pao2, fio2","vital sign based, it should not be sparse",1,mmHg
5,propofol_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,amoxicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,verapamil_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,qsofa,TWF,Integer,no,no,,,qsofa_update,"resp_rate, sbpm, gcs",it should not be sparse,1,no unit
5,erythromycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,fio2,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,%
5,neurologic_sofa,TWF,Integer,no,no,,,neurologic_sofa_update,gcs,"vital-sign based,  it should not be sparse",1,no unit
5,hematologic_sofa,TWF,Integer,no,no,,,hematologic_sofa_update,platelets,"Lab-based feature, it should not be sparse",1,no unit
5,any_anticoagulant,T,Boolean,no,no,,,anticoagulant_update,"apixaban_dose, dabigatran_dose, rivaroxaban_dose, warfarin_dose, heparin_dose","Medication, 1 if any anticoagulant administered",1,
5,renal_sofa,TWF,Integer,no,no,,,renal_sofa_update,"creatinine, urine_output_24hr",it should not be sparse,1,no unit
5,clindamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,levophed_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/min
5,nbp_sys,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,mmHg
5,etomidate_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,tobramycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,sirs_hr_oor,TWF,Boolean,no,no,,,sirs_hr_oor_update,heart_rate,"vital sign based,  it should not be sparse",1,no unit
5,rapamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,resp_sofa,TWF,Integer,no,no,,,resp_sofa_update,"vent, pao2_to_fio2",,1,no unit
5,bun_to_cr,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
5,hypersensitivity_pneumonitis_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,prednisone_dose,T,JSON,yes,no,,,,,Medication,1,
5,chronic_kidney_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,vasopressin_dose,T,JSON,yes,no,,3,,,Medication,1,unit
5,cmi,TWF,Boolean,no,no,,,cmi_update,"severe_sepsis, fluid_resuscitation, vasopressor_resuscitation, fluids_intake_1hr","label, it should not be sparse",1,no unit
5,heart_attack,T,Boolean,no,no,,,heart_attack_update,"heart_attack_inhosp, ekg_proc, troponin","Diagnoses, t at time of heart attack",1,
5,levophed_injection_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
5,gender,S,Integer,yes,no,,,,,Demographic,1,0 stands for female and 1 stands for male
5,cardio_sofa,TWF,Integer,no,no,,,cardio_sofa_update,"mapm, dopamine_dose, epinephrine_dose, dobutamine_dose, levophed_infusion_dose, weight","a feature based on medication and vital sign, SOFA, Cardio vascular",1,no unit
5,stroke,T,Boolean,no,no,,,stroke_update,"stroke_inhosp, ct_proc, mri_proc",Diagnoses,1,
5,pulmonary_emboli_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with pulmonary emboli during hospital stay",1,
5,acute_pancreatitis,TWF,integer,no,no,,,acute_pancreatitis_update,"lipase, amylase",event,1,no unit
5,wbc,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,K/mm3
5,doxazosin_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hepatic_failure_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with fulminant hepatic failure during hospital stay",1,
5,chronic_airway_obstruction_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,infections_angus_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,asthma_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,shock_idx,TWF,Real,no,no,,,shock_idx_update,"heart_rate, sbpm","vital signs-based, it should not be sparse",1,beats per min/mmHg
5,fludrocortisone_dose,T,JSON,yes,no,,,,,Medication,1,
5,weight,TWF,Real,yes,no,last_value_in_window,168,,,Phyiologic,1,kg
5,meropenem_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,rivaroxaban_dose,T,JSON,yes,no,,,,,Medication,1,
5,platelets,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,103/ul
5,arterial_ph,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
5,aclidinium_dose,T,JSON,yes,no,,,,,Medication,1,puff|Inhaler
5,bronchiectasis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,hypersensitivity_pneumonitis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,nbp_dias,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,mmHg
5,pneumonia_approx,T,String,yes,no,,,,,,,
5,dabigatran_dose,T,JSON,yes,no,,,,,Medication,1,
5,midazolam_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,gi_bleed,T,Boolean,no,no,,,gi_bleed_update,"gi_bleed_inhosp, ct_proc, mri_proc",,1,
5,albuterol_dose,T,Real,yes,no,,,,,Medication,,mg
5,bronchiectasis_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,gentamicin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,fluids_intake_1hr,TWF,Real,no,no,,,fluids_intake_1hr,fluids_intake,,1,ml
5,co2,TWF,Real,yes,no,last_value_in_window,28,,,"Lab, carbon dioxide",1,mmol/L
5,heparin_dose,T,JSON,yes,no,,,,,Medication,1,
5,heart_arrhythmias_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,acebutolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,dbpm,TWF,Real,no,no,,,dbpm_update,"abp_dias, nbp_dias","feaure based on BP dias, Diastolic blood pressure (combines invasive and noninvasive), it should not be sparse",1,mmHg
5,heart_failure_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,ddimer,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/L
5,ast_liver_enzymes,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,Units/L
5,betamethasone_dose,T,JSON,yes,no,,,,,Medication,1,
5,fluids_intake_24hr,TWF,Real,no,no,,,fluids_intake_24hr,fluids_intake,,1,ml
5,ptt,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
5,transfuse_platelets,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
5,levophed_infusion_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
5,hemorrhage_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with hemorrhage during hospital stay",1,
5,esrd_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,epogen_dose,T,JSON,yes,no,,,,,Medication,1,Units
5,abp_sys,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Systolic Arterial blood pressure",1,mmHg
5,esrd_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,magnesium,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
5,severe_sepsis,TWF,Boolean,no,no,,,severe_sepsis_update,"sirs_intp, acute_organ_failure, sepsis_note,infections_angus_diag, infections_angus_hist","mix of lab and vital signs, check whether severe sepsis has occurred,  it should not be sparse",1,no unit
5,bicarbonate,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
5,clonidine_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,transfuse_plasma,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
5,emphysema_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,heart_attack_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with heart attack during hospital stay",1,
5,ekg_proc,T,Boolean,yes,no,,,,,Procedure,1,
5,severe_pancreatitis,T,Boolean,no,no,,,severe_pancreatitis_update,"severe_pancreatitis_inhosp, ct_proc, mri_proc",Diagnoses,1,
5,any_antibiotics_order,T,Boolean,no,no,,,any_antibiotics_order_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazbac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotics was ordered for the patient,1,no unit
5,pancreatitis_chronic_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,liver_disease_hist,S,Boolean,yes,no,,,,,history,1,no unit
5,dialysis_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,hydrocortisone_dose,T,JSON,yes,no,,,,,Medication,1,
5,lipase,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
5,diabetes_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,prednisolone_dose,T,JSON,yes,no,,,,,Medication,1,
5,bisoprolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,asthma_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,hypotension_raw,TWF,Boolean,no,no,,,hypotension_raw_update,"sbpm, mapm","BP-based feature, it should not be sparse",1,no unit
5,salmeterol_dose,T,JSON,yes,no,,,,,Medication,1,Puff
5,insulin_dose,T,JSON,yes,no,,,,,Medication,1,
5,immunodeficiency_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,sbpm,TWF,Real,no,no,,,sbpm_update,"abp_sys, nbp_sys","Systolic blood pressure,  it should not be sparse",1,mmHg
5,bronchitis,T,Boolean,no,no,,,bronchitis_update,"bronchitis_inhosp, chest_xray, bacterial_culture",Diagnoses,1,
5,culture_order,T,String,yes,no,,,,,Procedure,1,
5,dialysis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,heart_rate,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,beats per min
5,nbp_mean,TWF,Real,no,no,,,nbp_mean_update,"nbp_dias, nbp_sys","Physiologic, mean of NonInvasive blood pressure",1,mmHg
5,aids_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,amiodarone_dose,T,JSON,yes,no,,,,,Medication,1,mg or mg/min if given by IV
5,moxifloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,diazepam_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,admit_weight,S,Real,no,no,,,admit_weight_update,weight,Admission weight,1,kg
5,nadolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,chronic_airway_obstruction_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,vent,T,String,yes,no,,,,,need to know when is on and when it taken away,1,no unit
5,ards_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with ARDS during hospital stay",1,
5,asthma_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,anion_gap,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
5,renal_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,severe_pancreatitis_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with severe pancreatitis during hospital stay",1,
5,vasopressor_resuscitation,TWF,Boolean,no,no,,,vasopressor_resuscitation_update,"levophed_infusion_dose,dopamine_dose",,1,no unit
5,methylprednisolone_dose,T,JSON,yes,no,,,,,Medication,1,
5,hepatic_failure,T,Boolean,no,no,,,hepatic_failure_update,"hepatic_failure_inhosp, bilirubin",,1,
5,pulmonary_emboli,T,Boolean,no,no,,,pulmonary_emboli_update,"pulmonary_emboli_inhosp, ct_proc, ekg_proc",Diagnoses,1,
5,urine_output_24hr,TWF,Real,no,no,,,urine_output_24hr,urine_output,Physiologic,1,ml
5,amylase,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
5,uro_sepsis,T,String,yes,no,,,,,,,
5,transfuse_cryoprecipitate,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
5,propranolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,septic_shock_iii,TWF,Integer,no,no,,,septic_shock_iii_update,"suspicion_of_infection,qsofa,worst_sofa, fluid_resuscitation, hypotension_intp,vasopressor_resuscitation,lactate",Whether patient has septic shock using 2016 consensus definition,1,no unit
5,hematocrit,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,%
5,hydralazine_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,lisinopril_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,temperature,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,Fahrenheit
5,any_beta_blocker,T,Boolean,no,no,,,beta_blocker_update,"acebutolol_dose, atenolol_dose, bisoprolol_dose, metoprolol_dose, nadolol_dose, propanolol_dose","Medication, 1 if any beta blocker administered",1,
5,penicillin_dose,T,JSON,yes,no,,3,,,Medication,1,Million Units
5,sirs_wbc_oor,TWF,Boolean,no,no,,,sirs_wbc_oor_update,wbc,it should not be sparse,1,no unit
5,any_glucocorticoid,T,Boolean,no,no,,,glucocorticoid_update,"hydrocortisone_dose, prednisone_dose, prednisolone_dose, methylprednisolone_dose, dexamethasone_dose, betamethasone_dose, fludrocortisone_dose","Medication, 1 if any glucocorticoid administered",1,
5,enalapril_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,levalbuterol_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hemoglobin_minutes_since_measurement,TWF,Real,no,yes,,,time_since_last_measured,hemoglobin,minutes since last measured,1,no unit
5,intubation,T,Boolean,yes,no,,,,,Want to know time of placement,1,no unit
5,urine_output_6hr,TWF,Real,no,no,,,urine_output_6hr,urine_output,Physiologic,1,ml
5,chloride,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
5,spo2,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Peripheral capillary oxygen saturation",1,%
5,resp_rate,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,breath per min
5,diltiazem_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hemorrhagic_shock,TWF,Integer,no,no,,,hemorrhagic_shock_update,"transfuse_rbc, lactate, sbpm",screening label,1,no unit
5,diabetes_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,heart_arrhythmias_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,potassium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
5,line_sepsis,T,String,yes,no,,,,,,,
5,cefazolin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,acute_liver_failure,TWF,Integer,no,no,,,acute_liver_failure_update,"inr,gcs,liver_disease_hist",Whether patient has acute liver failure,1,no unit
5,met_carcinoma_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,bun,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dL
5,ramipril_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hemoglobin_change,TWF,Real,no,no,,,change_since_last_measured,hemoglobin,hemoglobin change since last measured,1,no unit
5,ceftazidime_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,bronchitis_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with bronchitis during hospital stay",1,
5,mri_proc,T,String,yes,no,,,,,"Procedure, name of MRI performed",1,
5,epinephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/min
5,isincardiacicu,T,Boolean,yes,no,,,,,"feature, cardiac surgery patients",1,no unit
5,mi,TWF,int,no,no,,,mi_update,troponin,event,1,no unit
5,transfuse_rbc,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
5,hypotension_intp,TWF,Boolean,no,no,,,hypotension_intp_update,hypotension_raw,it should not be sparse,1,no unit
5,uti_approx,T,String,yes,no,,,,,,,
5,calcium,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
5,biliary_sepsis_approx,T,String,yes,no,,,,,,,
5,pneumonia_sepsis,T,String,yes,no,,,,,,,
5,ards_approx,T,String,yes,no,,,,,,,
5,pancreatitis_chronic_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,ct_proc,T,String,yes,no,,,,,"Procedure, name of CT scan performed",1,
5,gi_bleed_inhosp,T,String,yes,no,,,,,,,
5,tiotropium_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,abp_dias,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Diastolic Arterial blood pressure",1,mmHg
5,acute_organ_failure,TWF,Boolean,no,no,,,acute_organ_failure_update,"inr, platelets, creatinine, chronic_kidney_hist, bilirubin, liver_disease_hist, urine_output_24hr, lactate, pao2_to_fio2, chronic_pulmonary_hist, hypotension_intp","check whether the organ-failure criteria for severe sepsis was met, it should not be sparse",1,no unit
5,intra_abdominal_sepsis,T,String,yes,no,,,,,,,
5,apixaban_dose,T,JSON,yes,no,,,,,Medication,1,
5,liver_disease_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,hypersensitivity_pneumonitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
5,worst_sofa,TWF,Integer,no,no,,,worst_sofa_update,"resp_sofa, hepatic_sofa, hematologic_sofa, cardio_sofa, neurologic_sofa, renal_sofa",it should not be sparse,1,no unit
5,metoprolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,lorazepam_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,hemoglobin,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,gm/dL
5,any_organ_failure,TWF,Boolean,no,no,,,any_organ_failure_update,worst_sofa,"Lab-based feature, it should not be sparse",1,no unit
5,inr,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
5,rifampin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,dopamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
5,any_pressor,T,Boolean,no,no,,,any_pressor_update,"dopamine_dose, epinephrine_dose, levophed_infusion_dose, neosynephrine_dose, vasopressin_dose",any antibiotic was given to the patient,1,no unit
5,dexamethasone_dose,T,JSON,yes,no,,,,,Medication,1,
5,ampicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,creatinine,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dl
5,fluid_resuscitation,TWF,Boolean,no,no,,,fluid_resuscitation_update,"fluids_intake_3hr,weight",,1,no unit
5,hemorrhage,T,Integer,no,no,,,hemorrhage_update,transfuse_rbc,Whether there is a new hemorrhage,1,no unit
5,chronic_airway_obstruction_hist,S,Boolean,yes,no,,,,,History,1,no unit
5,chest_xray,T,Boolean,yes,no,,,,,"Procedure, true if chest x-ray performed",1,
5,vancomycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,atenolol_dose,T,JSON,yes,no,,,,,Medication,1,
5,bronchiectasis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,dialysis,T,Real,yes,no,,,,,Volume of fluid removed,1,
5,bilirubin,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dl
5,alt_liver_enzymes,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
5,map,TWF,Real,yes,no,last_value_in_window,4,,,Phyiologic,1,mmHg
5,mapm,TWF,Real,no,no,,,mapm_update,"abp_mean, nbp_mean","BP-based, Mean arterial pressure (MAP), it should not be sparse",1,mmHg
5,chronic_bronchitis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,gcs,TWF,Real,yes,no,last_value_in_window,28,,,"Glasgow Coma Score, measure of consciousness on a discrete scale from 3-15 where higher is better",1,no unit
5,pancreatitis_chronic_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,oxacillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,sirs_intp,TWF,Boolean,no,no,,,sirs_intp_update,sirs_raw,it should not be sparse,1,no unit
5,bacterial_culture,T,String,yes,no,,,,,Procedure,1,
5,minutes_since_any_antibiotics,TWF,Integer,no,no,,,minutes_since_any_antibiotics_update,any_antibiotics,feature,1,min
5,acute_kidney_failure_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with acute kidney failure during hospital stay",1,
5,met_carcinoma_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,fluids_intake,T,Real,yes,no,,,,,all fluids intake,1,ml
5,any_inotrope,T,Boolean,no,no,,,any_inotrope_update,"dobutamine_dose, milrinone_dose",any antibiotic was given to the patient,1,no unit
5,peritonitis_approx,T,String,yes,no,,,,,,,
5,urosepsis_approx,T,String,yes,no,,,,,,,
5,piperacillin_tazbac_dose,T,JSON,yes,no,,3,,,Medication,1,mg
5,aids_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,urine_output,T,Real,yes,no,,,,,Phyiologic,1,ml
5,carvedilol_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,sepsis_note,S,Boolean,yes,no,,,,,Label,1,no unit
5,heart_failure_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
5,lidocaine_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,fluids_intake_3hr,TWF,Real,no,no,,,fluids_intake_3hr,fluids_intake,,1,ml
5,warfarin_dose,T,JSON,yes,no,,,,,Medication,1,
5,line_sepsis_approx,T,String,yes,no,,,,,,,
5,discharge,T,JSON,yes,no,,,,,includes discharge department and disposition,1,no unit
5,catheter,T,Boolean,yes,no,,,,,Need to know when is inserted and when removed,1,
5,sirs_temperature_oor,TWF,Boolean,no,no,,,sirs_temperature_oor_update,temperature,it should not be sparse,1,no unit
5,cellulitis_approx,T,String,yes,no,,,,,,,
5,sotalol_dose,T,JSON,yes,no,,,,,Medication,1,mg
5,sirs_resp_oor,TWF,Boolean,no,no,,,sirs_resp_oor_update,"resp_rate, paco2","vital signs based,  it should not be sparse",1,no unit
