dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
5,threshold_inr,transform,"threshold(0.01, 12)"
5,hypotension_raw_update,derive,ref Arch folder
5,minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
5,threshold_abp_dias,transform,"threshold(8 , 150)"
5,nbp_mean_update,derive,ref Arch folder
5,threshold_platelets,transform,"threshold(0.1, 1200)"
5,severe_sepsis_update,derive,ref Arch folder
5,septic_shock_iii_update,derive,ref Arch folder
5,fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
5,sirs_hr_oor_update,derive,ref Arch folder
5,convert_penicillin_g_dose,transform,convert to million unit
5,convert_dose_to_binary,transform,indicate where the medication was taken
5,convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
5,lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
5,qsofa_update,derive,ref Arch folder
5,transform_potassium,transform,transform potassium to mmol
5,convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
5,threshold_nbp_mean,transform,"threshold(20, 250)"
5,threshold_nbp_dias,transform,"threshold(8 , 150)"
5,convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
5,convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
5,threshold_bilirubin,transform,"threshold(0, 50)"
5,threshold_sodium,transform,"threshold(115, 160)"
5,hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
5,dbpm_update,derive,ref Arch folder
5,threshold_potassium,transform,"threshold(1, 10)"
5,hepatic_sofa_update,derive,ref Arch folder
5,convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
5,admit_weight_update,derive,generate admit weight
5,acute_liver_failure_update,derive,ref Arch folder
5,threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
5,convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
5,heart_attack_update,derive,1 at estimated time of heart attack diagnosis
5,convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
5,cmi_update,derive,ref Arch folder
